
          t           a           e           i          Om           u           w        teta 
     112.300    7038.348       0.002       1.714       1.320       5.680       0.589       5.091
     112.400    7038.402       0.002       1.714       1.320       5.680       0.589       5.091
     112.500    7038.457       0.003       1.714       1.320       5.680       0.589       5.091
     112.600    7038.511       0.003       1.714       1.320       5.680       0.589       5.091
     112.700    7038.565       0.003       1.714       1.320       5.680       0.589       5.091
     112.800    7038.620       0.003       1.714       1.320       5.680       0.588       5.092
     112.900    7038.674       0.003       1.714       1.320       5.680       0.588       5.092
     113.000    7038.729       0.003       1.714       1.320       5.680       0.588       5.092
     113.100    7038.783       0.003       1.714       1.320       5.680       0.588       5.092
     113.200    7038.838       0.003       1.714       1.320       5.681       0.588       5.093
     113.300    7038.893       0.003       1.714       1.320       5.681       0.588       5.093
     113.400    7038.947       0.003       1.714       1.320       5.681       0.588       5.093
     113.500    7039.002       0.003       1.714       1.320       5.681       0.588       5.093
     113.600    7039.057       0.003       1.714       1.320       5.681       0.587       5.094
     113.700    7039.112       0.003       1.714       1.319       5.681       0.587       5.094
     113.800    7039.167       0.003       1.714       1.319       5.681       0.587       5.094
     113.900    7039.221       0.003       1.714       1.319       5.681       0.587       5.094
     114.000    7039.276       0.003       1.714       1.319       5.681       0.587       5.094
     114.100    7039.331       0.003       1.714       1.319       5.681       0.587       5.095
     114.200    7039.386       0.003       1.714       1.319       5.682       0.587       5.095
     114.300    7039.442       0.003       1.715       1.319       5.682       0.587       5.095
     114.400    7039.497       0.003       1.715       1.319       5.682       0.586       5.095
     114.500    7039.552       0.003       1.715       1.319       5.682       0.586       5.096
     114.600    7039.607       0.003       1.715       1.319       5.682       0.586       5.096
     114.700    7039.662       0.003       1.715       1.319       5.682       0.586       5.096
     114.800    7039.718       0.003       1.715       1.319       5.682       0.586       5.096
     114.900    7039.773       0.003       1.715       1.319       5.682       0.586       5.096
     115.000    7039.828       0.003       1.715       1.319       5.682       0.586       5.097
     115.100    7039.884       0.003       1.715       1.319       5.682       0.586       5.097
     115.200    7039.939       0.003       1.715       1.319       5.683       0.585       5.097
     115.300    7039.995       0.003       1.715       1.319       5.683       0.585       5.097
     115.400    7040.050       0.003       1.715       1.319       5.683       0.585       5.098
     115.500    7040.106       0.003       1.715       1.319       5.683       0.585       5.098
     115.600    7040.162       0.003       1.715       1.319       5.683       0.585       5.098
     115.700    7040.217       0.003       1.715       1.319       5.683       0.585       5.098
     115.800    7040.273       0.003       1.715       1.319       5.683       0.585       5.099
     115.900    7040.329       0.003       1.715       1.319       5.683       0.585       5.099
     116.000    7040.385       0.003       1.715       1.319       5.683       0.584       5.099
     116.100    7040.441       0.003       1.715       1.319       5.684       0.584       5.099
     116.200    7040.496       0.003       1.715       1.319       5.684       0.584       5.099
     116.300    7040.552       0.003       1.715       1.319       5.684       0.584       5.100
     116.400    7040.608       0.003       1.715       1.319       5.684       0.584       5.100
     116.500    7040.664       0.003       1.715       1.319       5.684       0.584       5.100
     116.600    7040.721       0.003       1.715       1.319       5.684       0.584       5.100
     116.700    7040.777       0.003       1.715       1.319       5.684       0.584       5.101
     116.800    7040.833       0.003       1.715       1.319       5.684       0.583       5.101
     116.900    7040.889       0.003       1.715       1.319       5.684       0.583       5.101
     117.000    7040.945       0.003       1.715       1.319       5.684       0.583       5.101
     117.100    7041.002       0.003       1.715       1.319       5.685       0.583       5.101
     117.200    7041.058       0.003       1.715       1.319       5.685       0.583       5.102
     117.300    7041.114       0.003       1.715       1.319       5.685       0.583       5.102
     117.400    7041.171       0.003       1.715       1.319       5.685       0.583       5.102
     117.500    7041.227       0.003       1.715       1.319       5.685       0.583       5.102
     117.600    7041.284       0.004       1.715       1.319       5.685       0.583       5.103
     117.700    7041.340       0.004       1.715       1.319       5.685       0.582       5.103
     117.800    7041.397       0.004       1.715       1.319       5.685       0.582       5.103
     117.900    7041.454       0.004       1.716       1.319       5.685       0.582       5.103
     118.000    7041.510       0.004       1.716       1.319       5.686       0.582       5.104
     118.100    7041.567       0.004       1.716       1.319       5.686       0.582       5.104
     118.200    7041.624       0.004       1.716       1.319       5.686       0.582       5.104
     118.300    7041.681       0.004       1.716       1.319       5.686       0.582       5.104
     118.400    7041.737       0.004       1.716       1.319       5.686       0.582       5.104
     118.500    7041.794       0.004       1.716       1.319       5.686       0.581       5.105
     118.600    7041.851       0.004       1.716       1.319       5.686       0.581       5.105
     118.700    7041.908       0.004       1.716       1.319       5.686       0.581       5.105
     118.800    7041.965       0.004       1.716       1.319       5.686       0.581       5.105
     118.900    7042.022       0.004       1.716       1.319       5.686       0.581       5.106
     119.000    7042.079       0.004       1.716       1.318       5.687       0.581       5.106
     119.100    7042.137       0.004       1.716       1.318       5.687       0.581       5.106
     119.200    7042.194       0.004       1.716       1.318       5.687       0.581       5.106
     119.300    7042.251       0.004       1.716       1.318       5.687       0.580       5.106
     119.400    7042.308       0.004       1.716       1.318       5.687       0.580       5.107
     119.500    7042.366       0.004       1.716       1.318       5.687       0.580       5.107
     119.600    7042.423       0.004       1.716       1.318       5.687       0.580       5.107
     119.700    7042.480       0.004       1.716       1.318       5.687       0.580       5.107
     119.800    7042.538       0.004       1.716       1.318       5.687       0.580       5.108
     119.900    7042.595       0.004       1.716       1.318       5.688       0.580       5.108
     120.000    7042.653       0.004       1.716       1.318       5.688       0.580       5.108
     120.100    7042.710       0.004       1.716       1.318       5.688       0.579       5.108
     120.200    7042.768       0.004       1.716       1.318       5.688       0.579       5.109
     120.300    7042.826       0.004       1.716       1.318       5.688       0.579       5.109
     120.400    7042.883       0.004       1.716       1.318       5.688       0.579       5.109
     120.500    7042.941       0.004       1.716       1.318       5.688       0.579       5.109
