
          t           x           y           z          Vx          Vy          Vz           m        Vхар 
       110.5     882.783    5742.493   -3961.649       1.874       3.963       6.138        6937    0.030170
       110.6     882.970    5742.889   -3961.035       1.874       3.963       6.139        6936    0.030458
       110.7     883.157    5743.285   -3960.421       1.873       3.962       6.139        6936    0.030745
       110.8     883.345    5743.682   -3959.807       1.873       3.962       6.140        6935    0.031032
       110.9     883.532    5744.078   -3959.193       1.873       3.961       6.140        6935    0.031319
       111.0     883.719    5744.474   -3958.579       1.873       3.961       6.141        6934    0.031607
       111.1     883.907    5744.870   -3957.965       1.872       3.961       6.141        6933    0.031894
       111.2     884.094    5745.266   -3957.351       1.872       3.960       6.142        6933    0.032181
       111.3     884.281    5745.662   -3956.736       1.872       3.960       6.142        6932    0.032468
       111.4     884.468    5746.058   -3956.122       1.872       3.959       6.143        6932    0.032755
       111.5     884.655    5746.454   -3955.508       1.871       3.959       6.144        6931    0.033043
       111.6     884.842    5746.850   -3954.893       1.871       3.958       6.144        6930    0.033330
       111.7     885.030    5747.245   -3954.279       1.871       3.958       6.145        6930    0.033617
       111.8     885.217    5747.641   -3953.664       1.871       3.958       6.145        6929    0.033904
       111.9     885.404    5748.037   -3953.050       1.870       3.957       6.146        6929    0.034192
       112.0     885.591    5748.433   -3952.435       1.870       3.957       6.146        6928    0.034479
       112.1     885.778    5748.828   -3951.821       1.870       3.956       6.147        6927    0.034766
       112.2     885.965    5749.224   -3951.206       1.869       3.956       6.147        6927    0.035053
       112.3     886.152    5749.620   -3950.591       1.869       3.955       6.148        6926    0.035340
       112.4     886.338    5750.015   -3949.976       1.869       3.955       6.148        6926    0.035628
       112.5     886.525    5750.411   -3949.362       1.869       3.955       6.149        6925    0.035915
       112.6     886.712    5750.806   -3948.747       1.868       3.954       6.149        6924    0.036202
       112.7     886.899    5751.201   -3948.132       1.868       3.954       6.150        6924    0.036489
       112.8     887.086    5751.597   -3947.517       1.868       3.953       6.150        6923    0.036776
       112.9     887.273    5751.992   -3946.902       1.868       3.953       6.151        6923    0.037063
       113.0     887.459    5752.387   -3946.287       1.867       3.952       6.151        6922    0.037351
       113.1     887.646    5752.783   -3945.671       1.867       3.952       6.152        6921    0.037638
       113.2     887.833    5753.178   -3945.056       1.867       3.952       6.152        6921    0.037925
       113.3     888.019    5753.573   -3944.441       1.867       3.951       6.153        6920    0.038212
       113.4     888.206    5753.968   -3943.826       1.866       3.951       6.153        6920    0.038499
       113.5     888.393    5754.363   -3943.210       1.866       3.950       6.154        6919    0.038786
       113.6     888.579    5754.758   -3942.595       1.866       3.950       6.154        6918    0.039074
       113.7     888.766    5755.153   -3941.979       1.866       3.949       6.155        6918    0.039361
