
          t        hper         hap 
       81.10     135.441     383.368
       81.20     135.363     383.596
       81.30     135.285     383.825
       81.40     135.208     384.054
       81.50     135.130     384.282
       81.60     135.052     384.511
       81.70     134.974     384.740
       81.80     134.896     384.968
       81.90     134.818     385.197
       82.00     134.741     385.426
       82.10     134.663     385.655
       82.20     134.585     385.883
       82.30     134.507     386.112
       82.40     134.430     386.341
       82.50     134.352     386.569
       82.60     134.274     386.798
       82.70     134.196     387.027
       82.80     134.119     387.256
       82.90     134.041     387.485
       83.00     133.963     387.713
       83.10     133.886     387.942
       83.20     133.808     388.171
       83.30     133.730     388.400
       83.40     133.652     388.629
       83.50     133.575     388.858
       83.60     133.497     389.087
       83.70     133.419     389.315
       83.80     133.342     389.544
       83.90     133.264     389.773
       84.00     133.186     390.002
       84.10     133.109     390.231
       84.20     133.031     390.460
       84.30     132.954     390.689
       84.40     132.876     390.918
       84.50     132.798     391.147
       84.60     132.721     391.376
       84.70     132.643     391.605
       84.80     132.566     391.834
       84.90     132.488     392.063
       85.00     132.410     392.292
       85.10     132.333     392.521
       85.20     132.255     392.750
       85.30     132.178     392.979
       85.40     132.100     393.208
       85.50     132.023     393.437
       85.60     131.945     393.666
       85.70     131.868     393.896
       85.80     131.790     394.125
       85.90     131.712     394.354
       86.00     131.635     394.583
       86.10     131.557     394.812
       86.20     131.480     395.041
       86.30     131.402     395.271
       86.40     131.325     395.500
       86.50     131.248     395.729
       86.60     131.170     395.958
       86.70     131.093     396.187
       86.80     131.015     396.417
       86.90     130.938     396.646
       87.00     130.860     396.875
       87.10     130.783     397.104
       87.20     130.705     397.334
       87.30     130.628     397.563
       87.40     130.551     397.792
       87.50     130.473     398.022
       87.60     130.396     398.251
       87.70     130.318     398.480
       87.80     130.241     398.710
       87.90     130.164     398.939
       88.00     130.086     399.168
       88.10     130.009     399.398
       88.20     129.932     399.627
       88.30     129.854     399.857
       88.40     129.777     400.086
       88.50     129.700     400.316
       88.60     129.622     400.545
       88.70     129.545     400.775
       88.80     129.468     401.004
       88.90     129.390     401.234
       89.00     129.313     401.463
       89.10     129.236     401.693
       89.20     129.158     401.922
       89.30     129.081     402.152
       89.40     129.004     402.381
       89.50     128.927     402.611
       89.60     128.849     402.840
       89.70     128.772     403.070
       89.80     128.695     403.300
       89.90     128.618     403.529
       90.00     128.540     403.759
       90.10     128.463     403.988
       90.20     128.386     404.218
       90.30     128.309     404.448
       90.40     128.232     404.677
       90.50     128.154     404.907
       90.60     128.077     405.137
       90.70     128.000     405.367
       90.80     127.923     405.596
       90.90     127.846     405.826
       91.00     127.769     406.056
       91.10     127.691     406.286
       91.20     127.614     406.515
       91.30     127.537     406.745
       91.40     127.460     406.975
       91.50     127.383     407.205
       91.60     127.306     407.435
       91.70     127.229     407.664
       91.80     127.152     407.894
       91.90     127.074     408.124
       92.00     126.997     408.354
       92.10     126.920     408.584
       92.20     126.843     408.814
       92.30     126.766     409.044
       92.40     126.689     409.274
       92.50     126.612     409.504
       92.60     126.535     409.734
       92.70     126.458     409.964
       92.80     126.381     410.193
       92.90     126.304     410.423
       93.00     126.227     410.654
       93.10     126.150     410.884
       93.20     126.073     411.114
       93.30     125.996     411.344
       93.40     125.919     411.574
       93.50     125.842     411.804
       93.60     125.765     412.034
       93.70     125.688     412.264
       93.80     125.611     412.494
       93.90     125.534     412.724
       94.00     125.457     412.954
       94.10     125.381     413.184
       94.20     125.304     413.415
       94.30     125.227     413.645
       94.40     125.150     413.875
       94.50     125.073     414.105
       94.60     124.996     414.335
       94.70     124.919     414.566
       94.80     124.842     414.796
       94.90     124.765     415.026
       95.00     124.689     415.256
       95.10     124.612     415.487
       95.20     124.535     415.717
       95.30     124.458     415.947
       95.40     124.381     416.178
       95.50     124.304     416.408
       95.60     124.228     416.638
       95.70     124.151     416.869
       95.80     124.074     417.099
       95.90     123.997     417.329
       96.00     123.921     417.560
       96.10     123.844     417.790
       96.20     123.767     418.021
       96.30     123.690     418.251
       96.40     123.614     418.482
       96.50     123.537     418.712
       96.60     123.460     418.943
       96.70     123.383     419.173
       96.80     123.307     419.404
       96.90     123.230     419.634
       97.00     123.153     419.865
       97.10     123.077     420.095
       97.20     123.000     420.326
       97.30     122.923     420.556
       97.40     122.847     420.787
       97.50     122.770     421.018
       97.60     122.693     421.248
       97.70     122.617     421.479
       97.80     122.540     421.710
       97.90     122.463     421.940
       98.00     122.387     422.171
       98.10     122.310     422.402
       98.20     122.234     422.632
       98.30     122.157     422.863
       98.40     122.080     423.094
       98.50     122.004     423.325
       98.60     121.927     423.555
       98.70     121.851     423.786
       98.80     121.774     424.017
       98.90     121.698     424.248
       99.00     121.621     424.478
       99.10     121.545     424.709
       99.20     121.468     424.940
       99.30     121.392     425.171
       99.40     121.315     425.402
       99.50     121.239     425.633
       99.60     121.162     425.864
       99.70     121.086     426.095
       99.80     121.009     426.326
       99.90     120.933     426.557
      100.00     120.856     426.787
      100.10     120.780     427.018
      100.20     120.703     427.249
      100.30     120.627     427.480
      100.40     120.550     427.711
      100.50     120.474     427.943
      100.60     120.398     428.174
      100.70     120.321     428.405
      100.80     120.245     428.636
      100.90     120.168     428.867
